,FACILITY_ID,FACILITY_NAME,ADDRESS1,ADDRESS2,CITY,STATE,STATE_NAME,ZIP,COUNTY_FIPS,COUNTY,LATITUDE,LONGITUDE,YEAR,CEMS_USED,PARENT_COMPANY,ADDITIONAL_NAICS_CODES,COGENERATION_UNIT_EMISS_IND,PLANT_CODE_INDICATOR,PRIMARY_NAICS_CODE,SECONDARY_NAICS_CODE,EPA_VERIFIED
0,1000001,PSE Ferndale Generating Station,5105 LAKE TERRELL ROAD,,FERNDALE,WA,WASHINGTON,98248,53073,WHATCOM COUNTY,48.828707,-122.685533,2012,,PUGET SOUND ENERGY (100%),,N,,221112,,
1,1000002,Ardagh Glass Inc. (Dunkirk),524 E. CENTER STREET,,DUNKIRK,IN,INDIANA,47336,18075,JAY COUNTY,40.371053,-85.198134,2012,,SAINT-GOBAIN CONTAINERS INC (100%),,N,,327213,,
2,1000003,Ardagh Glass Inc. (Henderson),620 Facet Road,,Henderson,NC,NORTH CAROLINA,27537,37181,VANCE COUNTY,36.291066,-78.391883,2012,,SAINT-GOBAIN CONTAINERS INC (100%),,N,,327213,,
3,1000004,Ardagh Glass Inc. (Lincoln),1200 NORTH LOGAN STREET,,LINCOLN,IL,ILLINOIS,62656,17107,LOGAN COUNTY,40.157643,-89.353796,2012,,SAINT-GOBAIN CONTAINERS INC (100%),,N,,327213,,
4,1000005,Ardagh Glass Inc. (Madera),24441 AVENUE 12 & ROAD 24 1/2,,MADERA,CA,CALIFORNIA,93637,06039,MADERA COUNTY,36.92375,-120.10412,2012,,SAINT-GOBAIN CONTAINERS INC (100%),,N,,327213,,
5,1000006,Ardagh Glass Inc. (Milford),1 NATIONAL STREET,,MILFORD,MA,MASSACHUSETTS,01757,25027,WORCESTER,42.127778,-71.510556,2012,,SAINT-GOBAIN CONTAINERS INC (100%),,N,,327213,,
6,1000007,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,1000 N HILL RD,,BERNALILLO,NM,NEW MEXICO,87004,35043,SANDOVAL,35.329352,-106.525777,2012,,EAGLE MATERIALS INC (100%),,N,,327420,,
7,1000010,SANTA ROSA CENTRAL LANDFILL,6337 DELISA RD.,,MILTON,FL,FLORIDA,32583,12113,SANTA ROSA COUNTY,30.5804,-87.0621,2012,,SANTA ROSA BOARD OF COUNTY COMMISSIONERS (100%),,N,,562212,,
8,1000011,Central Hudson Gas and Electric Corporation,284 South Avenue,,Poughkeepsie,NY,NEW YORK,12601,36027,DUTCHESS,41.690648,-73.931605,2012,,CH ENERGY GROUP INC (100%),221210,NA,,221122,221121,
9,1000015,"TYSON FARMS, INC.",704 FACTORY STREET,,WILKESBORO,NC,NORTH CAROLINA,28697,37193,WILKES COUNTY,36.143889,-81.163333,2012,,"TYSON FOODS, INC (100%)",,NA,,311615,,
