,FACILITY_ID,REPORTING_YEAR,N2O_EMISSIONS_CO2E,TOTAL_ANNUAL_HEAT_INPUT,FACILITY_NAME,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,FUEL_TYPE_OTHER,FUEL_TYPE_BLEND,CH4_EMISSIONS_CO2E,OTHER_OR_BLEND_FUEL_TYPE
0,1000001,2017,97.2,3261607,PSE Ferndale Generating Station,CT-1B,Electricity Generator,Natural Gas (Weighted U.S. Average),,,81.5,
1,1000001,2017,96.6,3240008,PSE Ferndale Generating Station,CT-1A,Electricity Generator,Natural Gas (Weighted U.S. Average),,,81,
2,1000049,2017,3.1,103205,Lange,CT1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.6,
3,1000050,2017,4360.2,9144685,Wygen I,001,Electricity Generator,Subbituminous,,,228.6,
4,1000051,2017,11.2,374919.3,"Mariposa Energy, LLC",GT-4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,9.4,
5,1000051,2017,11.2,374925.6,"Mariposa Energy, LLC",GT-2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,9.4,
6,1000051,2017,11,370736.1,"Mariposa Energy, LLC",GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,9.3,
7,1000051,2017,10.8,360985.4,"Mariposa Energy, LLC",GT-3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,9,
8,1000052,2017,220,7381205,Mesquite Generating Station,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,184.5,
9,1000052,2017,320.4,10752158,Mesquite Generating Station,5,Electricity Generator,Natural Gas (Weighted U.S. Average),,,268.8,
10,1000052,2017,325.7,10930777,Mesquite Generating Station,6,Electricity Generator,Natural Gas (Weighted U.S. Average),,,273.3,
11,1000052,2017,218.8,7340914,Mesquite Generating Station,1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,183.5,
12,1000059,2017,181.9,6102960,Tenaska Kiamichi Generating Station,CTGDB3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,152.6,
13,1000059,2017,177.7,5961846,Tenaska Kiamichi Generating Station,CTGDB4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,149,
14,1000059,2017,165.7,5559348,Tenaska Kiamichi Generating Station,CTGDB2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,139,
15,1000059,2017,168.6,5657295,Tenaska Kiamichi Generating Station,CTGDB1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,141.4,
16,1000060,2017,.2,1268,Limon Generating Station,L2,Electricity Generator,Distillate Fuel Oil No. 2,,,.1,
17,1000060,2017,7,236416,Limon Generating Station,L1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,5.9,
18,1000060,2017,.9,4993,Limon Generating Station,L1,Electricity Generator,Distillate Fuel Oil No. 2,,,.4,
